AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;TEMPERATURA_MINIMA;TEMPERATURA_MAXIMA;TEMPERATURA_MEDIA
2021;9;TOBARRA;Castilla - La Mancha;Albacete;12,7;33,6;22,693
2021;9;TOLEDO;Castilla - La Mancha;Toledo;10,9;34,9;21,981
2021;9;TOMARES, ZAUDÍN;Andalucía;Sevilla;15,3;37,5;24,767
2021;9;TOMELLOSO;Castilla - La Mancha;Ciudad Real;8,2;35,5;21,527
2021;9;TONA;Cataluña;Barcelona;10,5;31,5;19,833
2021;9;TONA (ESCOLA);Cataluña;Barcelona;10,1;31,3;19,52
2021;9;TOPARES;Andalucía;Almería;10,0;31,7;19,922
2021;9;TORDERA - GRANYANELLA;Cataluña;Lleida;11,4;34,7;22,375
2021;9;TORLA-ORDESA, DEPÓSITO;Aragón;Huesca;4,7;34,0;17,715
2021;9;TORLA-ORDESA, EL CEBOLLAR;Aragón;Huesca;2,6;21,4;11,392
2021;9;TORNAVACAS;Extremadura;Cáceres;7,8;30,8;18,343
2021;9;TORRE PACHECO (C.C.A. AUT.);Región de Murcia;Murcia;14,9;34,6;24,975
2021;9;TORREBLANCA AYUNTAMIENTO (C.AGRARIA LOCAL);Comunitat Valenciana;Castellón/Castelló;15,6;29,7;23,702
2021;9;TORRECILLA DE LOS ANGELES;Extremadura;Cáceres;8,7;34,2;20,193
2021;9;TORRELAVEGA-SIERRAPANDO;Cantabria;Cantabria;11,6;36,5;19,527
2021;9;TORREMOLINOS;Andalucía;Málaga;17,5;33,4;24,357
2021;9;TORRES;Andalucía;Jaén;12,2;35,0;21,873
2021;9;TORROX,FARO;Andalucía;Málaga;18,2;31,8;24,637
2021;9;TORTOSA;Cataluña;Tarragona;14,3;33,1;23,947
2021;9;TORÀ;Cataluña;Lleida;7,8;34,8;20,39
2021;9;TOTANA;Región de Murcia;Murcia;15,9;35,6;25,732
2021;9;TRESVISO;Cantabria;Cantabria;8,0;29,9;16,003
2021;9;TRETO;Cantabria;Cantabria;11,6;31,9;19,067
2021;9;TRUJILLO;Extremadura;Cáceres;11,2;34,2;21,35
2021;9;TUDELA;Comunidad Foral de Navarra;Navarra;10,6;31,5;20,721
2021;9;TUINEJE-PUERTO GRAN TARAJAL;Canarias;Las Palmas;18,7;32,5;24,702
2021;9;TUIXENT;Cataluña;Lleida;4,5;29,2;15,885
2021;9;TURIS;Comunitat Valenciana;Valencia/València;13,7;34,3;23,321
