AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;PRECIPITACION_ACUMULADA;INTENSIDAD_MAXIMA_PRECIPITACION
2015;10;BERA;Comunidad Foral de Navarra;Navarra;82,6;408
2015;10;BERGA, INSTITUTO;Cataluña;Barcelona;44,0;228
2015;10;BETETA;Castilla - La Mancha;Cuenca;39,2;180
2015;10;BICORP;Comunitat Valenciana;Valencia/València;41,6;156
2015;10;BIELSA;Aragón;Huesca;98,4;408
2015;10;BIESCAS, EMBALSE DE BÚBAL;Aragón;Huesca;107,8;264
2015;10;BILBAO AEROPUERTO;País Vasco;Bizkaia;78,9;372
2015;10;BINISSALEM-SA VINYOTA;Illes Balears;Illes Balears;27,6;192
2015;10;BLANES, JARDIN BOTANICO;Cataluña;Girona;17,9;120
2015;10;BOADILLA FUENTE SAN ESTEBAN;Castilla y León;Salamanca;107,3;456
2015;10;BOIRO;Galicia;A Coruña;216,3;708
2015;10;BOSSOST-CENTRAL;Cataluña;Lleida;48,8;228
2015;10;BRIHUEGA;Castilla - La Mancha;Guadalajara;12,2;84
2015;10;BRIVIESCA;Castilla y León;Burgos;50,1;372
2015;10;BROZAS (AUTOMATICA);Extremadura;Cáceres;116,8;336
2015;10;BUITRAGO;Comunidad de Madrid;Madrid;1,3;6
2015;10;BUJARALOZ;Aragón;Zaragoza;6,2;24
2015;10;BULLAS;Región de Murcia;Murcia;42,0;348
2015;10;BURELA;Galicia;Lugo;115,1;276
2015;10;BURGO DE OSMA-POZUELOS;Castilla y León;Soria;21,8;60
2015;10;BURGOS/VILLAFRÍA;Castilla y León;Burgos;51,7;96
2015;10;BUSTILLO DEL PÁRAMO-LAS MATILLAS;Castilla y León;León;102,5;84
2015;10;BUÑOL-VENTA MINA;Comunitat Valenciana;Valencia/València;23,8;216
2015;10;BÁRCENA MAYOR-TORIZ;Cantabria;Cantabria;104,4;228
2015;10;CABACÉS;Cataluña;Tarragona;1,2;24
2015;10;CABDELLA-CENTRAL;Cataluña;Lleida;98,8;456
